,text,label
0,"Haitians Pray for 1,500 Killed by Jeanne (AP) AP - In a cathedral ankle-deep in mud and overturned pews, Haitians prayed for 1,500 killed by Tropical Storm Jeanne and gave thanks for their lives  #151; though most lost homes and belongings  #151; while the United Nations rushed in hundreds more peacekeepers to stem looting by gangsters and ordinary citizens of the ravaged city of Gonaives.",0
1,"U.S.-Led Forces Tighten Grip, Draw Complaints  SAMARRA, Iraq (Reuters) - U.S.-led forces tightened their  grip on a rebel-held city on Sunday in the first step of a  campaign to take back all of Iraq but drew complaints about the  cost in lives and suffering.",0
2,U.N. Says Bugging Device Found at Its Geneva HQ (Reuters) Reuters - The United Nations said on Thursday a\secret listening device had been found in a posh meeting room\of its European headquarters in Geneva.,0
3,Kerry Questions Bush's Judgment on Iraq NEW YORK - Sen. John Kerry said Monday that mistakes by President Bush in invading Iraq could lead to unending war and that no responsible commander in chief would have waged the war knowing Saddam Hussein didn't possess weapons of mass destruction and wasn't an imminent threat to the United States...,0
4,Seoul Asks Bush to Focus on N.Korea Nuclear Crisis South Korean President Roh Moo-hyun called newly re-elected President Bush and won his agreement that ending the nuclear crisis involving the isolated communist North should be a goal of his second term in office.,0
5,"Egypt FM, intelligence chief to visit Israel next month (AFP) AFP - Egyptian Foreign Minister Ahmed Abul Gheit announced that he and intelligence chief Omar Suleiman intend to visit Israel next month to discuss bilateral issues as well as the Israeli-Palestinian conflict.",0
6,"At least 14 people killed, 200 injured in Bangladesh #39;s bomb blasts At least 14 people were killed and over 200 injured, as a series of bombs and grenades exploded through a rally here organized by the main opposition the Awami League Saturday ",0
7,"Japan #39;s Government to Discuss BSE Cattle Tests Monday (Update1) The Japanese government #39;s Food Safety Commission will meet Monday to discuss cattle-testing procedures for mad cow disease, possibly bringing forward the end of Japan #39;s ban on imports of US beef.",0
8,"Powell Presses N. Korea on Weapons Talks (AP) AP - Secretary of State Colin Powell pressed North Korea on Sunday to return to nuclear disarmament talks even as he branded the communist country a ""terrorist state"" that has ""no respect for human rights.""",0
9,"Yasser Arafat #39;s nephew hands over Palestinian leader #39;s medical &lt;b&gt;...&lt;/b&gt; Nasser al-Kidwa (ahl KIHD #39;-wah), who is also the Palestinian representative to the UN, delivered the 558-page dossier, plus X-rays, to the interim Palestinian president.",0
10,"Hamm Goes for More Gold Amid Controversy ATHENS, Greece - Despite the controversy surrounding his gold medal in the all-around, Paul Hamm has a chance to win two more golds Sunday. The American will compete in the finals of the pommel horse and the floor exercise - the latter against his twin brother, Morgan...",0
11,"Uruguay elects leftist leader for first time was enough to ensure he would be able to govern. Vazquez declared himself winner a few hours. after compulsory voting ended in the nation of 3.4 million, and his two challengers conceded.",0
12,Sudan Talks End in Deadlock on Humanitarian Issues Darfur rebels and the Sudanese government ended peace talks on Sunday in Nigeria in a deadlock on how to address what the United Nations has called the world #39;s worst humanitarian crisis.,0
13,"London Ex-Policeman Sentenced for Spying A judge sentenced a former London police officer to 2 1/2 years in prison Monday for spying on Saudi dissidents and others in Britain in exchange for \$25,000 from a diplomat representing Saudi Arabia.",0
14,Italy Races to Save Hostages Before Deadline (Reuters) Reuters - Italian Foreign Minister Franco Frattini\appealed to Arab countries on Monday to help win the release of\two Italian hostages as an apparent deadline to kill them drew\near.,0
15,Thatcher lawyers mull Equatorial Guinea interview request South African lawyers acting for Mark Thatcher will meet on Tuesday to discuss a request from Equatorial Guinea to question their client on suspicion that he helped finance a coup plot in the oil-rich country.,0
16,"Strategy for partnership With the European Unions (EU) expansion to 25 countries, it now accounts for 28 of world GDP and a market of 450 million. That closer commercial relationships with EU are desirable is obvious.",0
17,"N.Y. woman doubts getting early release from Peruvian prison CAJAMARCA, Peru -- Lori Berenson, the 34-year-old New Yorker jailed in Peru for collaboration with Marxist guerrillas, holds little hope that an expected international court ruling in her favor will get her out of prison before she turns 45.",0
18,Peace Talks for Sudan #39;s Darfur Collapse Sudan #39;s rebels and government broke off internationally brokered peace talks for the bloodied Darfur region Wednesday after three weeks with little progress and no deal.,0
19,"16 Killed in Algeria Rebel Attack (Reuters) Reuters - Suspected Algerian Islamic\militants killed 16 people in the first attack on civilians\since the start of the holy month of Ramadan, officials said on\Saturday.",0
20,Veterans Glance (AP) AP - Some highlights of the 1994 Uniformed Services Employment and Reemployment Rights Act:,0
21,"US stance on Hussein's oil sales eyed WASHINGTON -- Saddam Hussein was dead broke, the result of UN penalties. Or so it was thought.",0
22,"Heavy Rains, Flooding Kill 55 in China's Sichuan (Reuters) Reuters - Flooding and landslides set off by\heavy rains have killed 55 people and left 52 missing in\China's southwestern province of Sichuan, state media said on\Monday.",0
23,"Bush, Kerry Exchange Bitter Words on Iraq (AP) AP - President Bush and Democratic rival John Kerry traded biting accusations over the war in Iraq on Monday as early Florida voting produced scattered complaints that stirred memories of the state's chaotic 2000 recount.",0
