text,label
"According to Gran , the company have no plan to move all production to Russia , although that be where the company be grow .",1
"Technopolis plan to develop in stag an area of no less than 100,000 square meter in order to host company work in computer technologies and telecommunications , the statement say .",1
With the new production plant the company would increase its capacity to meet the expect increase in demand and would improve the use of raw materials and therefore increase the production profitability .,2
"According to the company 's update strategy for the years 2009-2012 , Basware target a long-term net sales growth in the range of 20 % -40 % with an operate profit margin of 10 % -20 % of net sales .",2
"For the last quarter of 2010 , Componenta 's net sales double to EUR131m from EUR76m for the same period a year earlier , while it move to a zero pre-tax profit from a pre-tax loss of EUR7m .",2
"In the third quarter of 2010 , net sales increase by 5.2 % to EUR 205.5 mn , and operate profit by 34.9 % to EUR 23.5 mn .",2
Operating profit rise to EUR 13.1 mn from EUR 8.7 mn in the correspond period in 2007 represent 7.7 % of net sales .,2
"Operating profit total EUR 21.1 mn , up from EUR 18.6 mn in 2007 , represent 9.7 % of net sales .",2
TeliaSonera TLSN say the offer be in line with its strategy to increase its ownership in core business hold and would strengthen Eesti Telekom 's offer to its customers .,2
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raise the fair value for share in four of the largest Nordic forestry group .",2
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , be sign with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",2
"Finnish Talentum report its operate profit increase to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales total EUR 103.3 mn , up from EUR 96.4 mn .",2
"Clothing retail chain Sepp+ñl+ñ 's sales increase by 8 % to EUR 155.2 mn , and operate profit rise to EUR 31.1 mn from EUR 17.1 mn in 2004 .",2
"Consolidated net sales increase 16 % to reach EUR74 .8 m , while operate profit amount to EUR0 .9 m compare to a loss of EUR0 .7 m in the prior year period .",2
"Foundries division report its sales increase by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the correspond period in 2006 , and sales of the Machine Shop division increase by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the correspond period in 2006 .",2
"HELSINKI ( AFX ) - Shares close higher , lead by Nokia after it announce plan to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earn report beat analysts ' expectations , dealers say .",2
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plan to double its revenues by 2007-2008 .",2
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share pay in 2009 .",2
"Lifetree be found in 2000 , and its revenues have rise on an average by 40 % with margins in late 30s .",2
"MegaFon 's subscriber base increase 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amount to 24 % as of late 2009 , up from 23 % as of late 2008 , accord to TeliaSonera estimate .",2
"Net income from life insurance double to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rise to EUR 5.2 mn from EUR 1.5 mn in the correspond period in 2009 .",2
Net sales increase to EUR193 .3 m from EUR179 .9 m and pretax profit rise by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),2
"Net sales surge by 18.5 % to EUR167 .8 m. Teleste say that EUR20 .4 m , or 12.2 % , of the sales come from the acquisitions make in 2009 .",2
Nordea Group 's operate profit increase in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,2
"Operating profit for the nine-month period increase from EUR13 .6 m , while net sales increase from EUR394 .7 m , as compare to the correspond period in 2005 .",2
"Operating profit for the nine-month period increase from EUR3 .1 m and net sales increase from EUR61 .5 m , as compare to the correspond period in 2007 .",2
"Operating profit for the three-month period increase from EUR1 .2 m , while revenue increase from EUR20 .2 m , as compare to the correspond period in 2005 .",2
"The Brazilian unit of Finnish security solutions provider F-Secure sign up 1,500 new clients last year , online news source Reseller Web quote the division 's commercial director , Vladimir Brand+úo , as say .",2
"The company 's net profit rise 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company say earlier .",2
"The Lithuanian beer market make up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association report cite the result from its members .",2
"Viking Line 's cargo revenue increase by 5.4 % to EUR 21.46 mn , and cargo volume increase by 2.4 % to 70,116 cargo units .",2
"The fair value of the property portfolio double as a result of the Kapiteeli acquisition and total EUR 2,686.2 1,259.7 million .",2
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V say yesterday its 2010 net profit almost triple to EUR297 .3 m from EUR107 .1 m for 2009 and announce a proposal for a raise payout .,2
"A Helsinki : ELIiV today report EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",2
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , have sign a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",2
"Commission income increase by 22 % to EUR 4.4 mn , and lend volume rise by 13.5 % .",2
"In January , traffic , measure in revenue passenger kilometres RPK , go up by 3.2 % and capacity , measure in available seat kilometres ASK , rise by 12.2 % .",2
"In January-September 2010 , Fiskars ' net profit go up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",2
"Net income from life insurance rise to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",2
"Nyrstar have also agree to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leach process during the period of supply of the zinc in concentrate .",2
Sales have rise in other export market .,2
Sales increase due to grow market rat and increase operations .,2
The agreement strengthen our long-term partnership with Nokia Siemens Networks .,2
"The agreement be sign with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develop , manufacture and market liquid handle products and diagnostic test systems .",2
The company also estimate the already carry out investments to lead to an increase in its net sales for 2010 from 2009 when they reach EUR 141.7 million .,2
"The company 's order book stand at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international order amount to 365 mln euro $ 534.3 mln .",2
"The company say that paper demand increase in all of its main market , include of publication paper , and that it increase average paper price by 4 percent compare with last year .",2
"The world 's second largest stainless steel maker say net profit in the three-month period until Dec. 31 surge to euro603 million US $ 781 million , or euro3 .33 US $ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",2
"Within the framework of the partnership , Nokia Siemens Networks have sign an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which be the largest manufacturer and exporter of microelectronic components in Russia .",2
"Seppala 's revenue increase by 0.2 % to EUR10 .1 m. In Finland , revenue go down by 2.4 % to EUR6 .8 m , while sales abroad rise by 6.2 % to EUR3 .3 m. Sales increase in all the Baltic countries as well as in Russia and Ukraine .",2
"Shares of Standard Chartered ( STAN ) rise 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) share rise 2 % and Barclays share ( BARC ) ( BCS ) be up 1.7 % .",2
Shares of Nokia Corp. rise Thursday after the cell phone maker say its third-quarter earn almost double and its share of the global handset market increase .,2
"In its financial report , publish on Friday , SEB say its net profit soar to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and propose a 50 % dividend increase to SEK1 .50 per share .",2
Sales for the Department Store Division increase by 15 % and sales for the clothe store subsidiary Seppala increase by 8 % Meanwhile sales for Hobby Hall decrease by 12 % .,2
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics have draw up a future scenario for Finland 's national economy by use a model develop by the University of Denver .",1
"In Sweden , Gallerix accumulate SEK denominate sales be down 1 % and EUR denominate sales be up 11 % .",1
The company support its global customers in develop new technologies and offer a fast route from product development to applications and volume production .,1
"When this investment be in place , Atria plan to expand into the Moscow market .",1
"In June it sell a 30 percent stake to Nordstjernan , and the investment group have now take up the option to acquire EQT 's remain share .",1
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today sign an agreement by which Aspo acquire the share capital of Kauko-Telko Ltd , a subsidiary wholly own by Kesko .",2
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 share have be subscribe with BasWare Warrant Program .,1
The new plant be plan to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,1
"The OMX Helsinki 25 index be up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index be 0.91 pct higher at 4,711.19 .",2
"A maximum of 666,104 new share can further be subscribe for by exercise B options under the 2004 stock option plan .",1
"As a result of the share issue , the number of the company 's share increase by 391,630 share and the share capital by a total of EUR 15,665.20 .",1
"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increase by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",1
"Other measure include increase synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",1
"Rinkuskiai raise the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grow by 14.3 percent , to 960,000 liters .",2
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sell stake in Morning Digital Design Oy Finnish IT company TJ Group Plc say on Friday 7 April that it have sign an agreement on sell its share of Morning Digital Design Oy to Edita Oyj .,2
"The 718,430 new Series A share will become subject to trade on the Helsinki Stock Exchange 's Main List , together with the old Series A share , on July 3 , 2006 .",1
Tiimari operate 194 store in six countries -- include its core Finnish market -- and generate a turnover of 76.5 mln eur in 2005 .,1
Under this agreement Biohit become a focus supplier of pipettors and disposable pipettor tip to VWR customers throughout Europe .,2
"The combination of all service enable us to offer a complex and strengthen service chain not only limit to the Baltic port connections but also for get access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` say Uwe Bakosch .",2
No blind-spots come from 1 vantage point allow investigators to see the whole story in high resolution with no unbroken video .,1
"The company still expect its turnover in 2010 to slightly increase from the level of 2009 , add that `` market predictability be still too poor for trustworthy forecast on the market development of the contract manufacture business during the current year `` .",2
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coat market .,2
"In January-September 2007 , Finnlines ' net sales rise to EUR 505.4 mn from EUR 473.5 mn in the correspond period in 2006 .",2
"Adjusted for change in the Group structure , the Division 's net sales increase by 1.7 % .",2
"`` The change will optimize the operational efficiencies of our grow business , `` say Julia Prohaska , director of market communications for Fiskars .",2
"`` They would invest not only in the physical infrastructure , but would also provide know-how for manage and develop science and technology park , `` say Sunrise Valley director Andrius Bagdonas .",2
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",2
Finnish Aktia Group 's operate profit rise to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,2
Finnish Bank of +àland 's consolidate net operate profit increase from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,2
